"id","from","reply_to","subject","body","body_html","attachments","category","is_phishing"
"1","Apex University Registrar <registrar@apex.edu>","registrar@apex.edu","Fall Semester Final Examination Schedule Published","Dear Student,

The official final examination schedule for the Fall semester is now available on the student portal. Please log in to your student dashboard to view your course-specific room assignments and exam timings.

Best regards,
Office of the Registrar
Apex University","<p>Dear Student,</p><p>The official final examination schedule for the Fall semester is now available on the <a href='https://portal.apex.edu/academics/exams'>student portal</a>. Please check your exam timings.</p><p>Office of the Registrar</p>","[]","LEGITIMATE","0"
"2","Campus Library Services <library@apex.edu>","library@apex.edu","Courtesy Reminder: Borrowed Book Due in 3 Days","Hello,

This is a friendly reminder that 'Introduction to Algorithms, 3rd Edition' is due on Friday. You may renew the item online through your library account if no other student has placed a hold.

Apex University Library","<p>Hello,</p><p>This is a friendly reminder that <em>Introduction to Algorithms</em> is due on Friday. Renew online via <a href='https://library.apex.edu/myaccount'>Library Portal</a>.</p>","[]","LEGITIMATE","0"
"3","Prof. David Miller <dmiller@cs.apex.edu>","dmiller@cs.apex.edu","CS101 Office Hours Rescheduled for This Thursday","Hi Class,

Please note that my office hours this Thursday will be held from 3:00 PM to 5:00 PM instead of the usual morning slot due to a faculty meeting. Feel free to email me if you need an alternative time.

Best,
Prof. Miller","<p>Hi Class,</p><p>Office hours this Thursday will be from 3:00 PM to 5:00 PM. See syllabus on <a href='https://canvas.apex.edu/courses/cs101'>Canvas</a>.</p>","[]","LEGITIMATE","0"
"4","Apex Hackathon Committee <hackathon@apex.edu>","hackathon@apex.edu","Registration Confirmed: Apex CyberHack 2026","Congratulations! Your team 'Binary Guardians' has been registered for Apex CyberHack 2026. The opening ceremony begins Saturday at 9:00 AM in the Engineering Auditorium.

See you there,
Hackathon Team","<p>Congratulations! Your team has been registered for Apex CyberHack 2026. Check the schedule on <a href='https://cyberhack.apex.edu/schedule'>our website</a>.</p>","[]","LEGITIMATE","0"
"5","GitHub Notifications <notifications@github.com>","support@github.com","[GitHub] Pull request #42 merged into main branch","Hi developer,

Pull request #42 'Add unit tests for authentication module' was successfully merged into main by team-lead. All 28 automated tests passed.

View details on GitHub.","<p>Pull request #42 was successfully merged into main. <a href='https://github.com/apex-org/project/pull/42'>View on GitHub</a>.</p>","[]","LEGITIMATE","0"
"6","Google Calendar <calendar-notification@google.com>","no-reply@google.com","Invitation: Weekly Project Sync @ Mon Sep 7, 2026 10:00 AM","You have been invited to Weekly Project Sync.
When: Monday, Sep 7, 2026 10:00 AM - 10:45 AM
Where: Google Meet
Organizer: team-lead@company.com","<p>You have been invited to Weekly Project Sync. <a href='https://meet.google.com/abc-defg-hij'>Join with Google Meet</a></p>","[]","LEGITIMATE","0"
"7","Amazon Customer Service <order-update@amazon.com>","no-reply@amazon.com","Your Amazon.com order #112-9847162-8921401 has shipped","Hello,

Your order containing 'USB-C Cable 2-Pack' has shipped via UPS and is estimated to arrive on Thursday. You can track your package directly in your Amazon account.

Thank you for shopping with Amazon.","<p>Your order has shipped. <a href='https://www.amazon.com/your-orders/tracking/112-9847162'>Track your package</a>.</p>","[]","LEGITIMATE","0"
"8","Slack Notifications <notification@slack.com>","feedback@slack.com","New messages in #general on CyberTeam Workspace","Here is a summary of unread messages from your team in #general:
- Alex: Pushed the latest patch to staging environment.
- Sarah: Meeting starts in 10 minutes.

Open Slack to reply.","<p>You have unread messages in #general. <a href='https://cyberteam.slack.com/messages/general'>Open Slack</a></p>","[]","LEGITIMATE","0"
"9","Spotify Subscription <no-reply@spotify.com>","no-reply@spotify.com","Your Spotify Premium Monthly Receipt","Hi there,

Thanks for choosing Spotify Premium. We have successfully processed your monthly subscription payment of $9.99 for the period Sep 1 - Sep 30, 2026.

Your receipt number is #SPT-892184.","<p>Your monthly Spotify Premium payment of $9.99 was processed. <a href='https://www.spotify.com/account/receipts'>View Account Receipts</a>.</p>","[]","LEGITIMATE","0"
"10","Coursera Learning <no-reply@coursera.org>","no-reply@coursera.org","Week 3 Assignment Graded: Machine Learning Foundations","Hi learner,

Your submission for 'Neural Networks and Optimization' has been graded. Your score: 95/100.

Log in to Coursera to view instructor feedback and continue to Week 4.","<p>Your assignment has been graded (95/100). <a href='https://www.coursera.org/learn/ml-foundations/home/week/3'>Go to Course</a>.</p>","[]","LEGITIMATE","0"
"11","Netflix Billing <info@mailer.netflix.com>","info@mailer.netflix.com","Your Netflix membership renewal statement","Hi member,

This is a routine confirmation that your Standard plan renewed on Sep 1, 2026 for $15.49. No action is required.

Happy streaming,
The Netflix Team","<p>Your Standard plan renewed on Sep 1, 2026. <a href='https://www.netflix.com/youraccount'>Manage Account</a>.</p>","[]","LEGITIMATE","0"
"12","LinkedIn Communications <messages-noreply@linkedin.com>","messages-noreply@linkedin.com","Priya Sharma endorsed your skill 'Python' on LinkedIn","Hi,

Priya Sharma from Apex University has endorsed you for the skill 'Python (Programming Language)'. Keep building your network and adding project milestones.

View profile on LinkedIn.","<p>Priya Sharma endorsed you for Python. <a href='https://www.linkedin.com/in/me'>View Profile</a>.</p>","[]","LEGITIMATE","0"
"13","City Power & Light <billing@citypower.org>","support@citypower.org","Your Monthly Utility Bill is Available","Hello Customer,

Your electric utility statement for August 2026 is ready. Total amount: $64.20, due on September 22. If you are enrolled in AutoPay, your balance will be processed automatically.","<p>Your electric statement is ready ($64.20). <a href='https://www.citypower.org/portal/billing'>View Statement</a>.</p>","[]","LEGITIMATE","0"
"14","Apex Health Center <appointments@apexhealth.org>","appointments@apexhealth.org","Routine Annual Checkup Appointment Confirmation","Dear Patient,

Your routine physical exam with Dr. Emily Vance is confirmed for Wednesday, Sep 15 at 10:30 AM at the Student Wellness Clinic. Please arrive 10 minutes early.

Apex Health Services","<p>Your appointment is confirmed for Sep 15 at 10:30 AM. <a href='https://portal.apexhealth.org/appointments'>View Portal</a>.</p>","[]","LEGITIMATE","0"
